date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.048;0.00290616;0.0229919;0.00099028;0.0466
0.0481;0.00290386;0.0229919;0.00099258;0.0467
0.0482;0.00290156;0.0229919;0.00099488;0.0468
0.0483;0.00289926;0.0229919;0.00099718;0.0469
0.0484;0.00289696;0.0229919;0.00099948;0.047
0.0485;0.00289466;0.0229919;0.00100178;0.0471
0.0486;0.00289236;0.0229919;0.00100408;0.0472
0.0487;0.00289006;0.0229919;0.00100638;0.0473
0.0488;0.00288776;0.0229919;0.00100868;0.0474
0.0489;0.00288546;0.0229919;0.00101098;0.0475
0.049;0.00288316;0.0229919;0.00101328;0.0476
0.0491;0.00288086;0.0229919;0.00101558;0.0477
0.0492;0.00287857;0.0229919;0.00101787;0.0478
0.0493;0.00287627;0.0229919;0.00102017;0.0479
0.0494;0.00287397;0.0229919;0.00102247;0.048
0.0495;0.00287167;0.0229919;0.00102477;0.0481
0.0496;0.00286937;0.0229919;0.00102707;0.0482
0.0497;0.00286707;0.0229919;0.00102937;0.0483
