Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.0702,0.00293947,0.0229501
0.0703,0.00293717,0.0229491
0.0704,0.00293487,0.0229481
0.0705,0.00293258,0.0229471
0.0706,0.00293029,0.0229462
0.0707,0.00292799,0.0229453
0.0708,0.0029257,0.0229445
0.0709,0.0029234,0.0229436
0.071,0.00292111,0.0229428
0.0711,0.00291881,0.022942
0.0712,0.00291652,0.0229412
0.0713,0.00291423,0.0229405
0.0714,0.00291193,0.0229398
0.0715,0.00290964,0.0229391
0.0716,0.00290734,0.0229384
0.0717,0.00290505,0.0229377
0.0718,0.00290276,0.0229371
0.0719,0.00290046,0.0229365
0.072,0.00289817,0.0229359
0.0721,0.00289588,0.0229353
0.0722,0.00289358,0.0229347
0.0723,0.00289129,0.0229342
0.0724,0.002889,0.0229337
0.0725,0.0028867,0.0229331
0.0726,0.00288441,0.0229327
0.0727,0.00288212,0.0229322
0.0728,0.00287982,0.0229317
0.0729,0.00287753,0.0229312
0.073,0.00287524,0.0229308
0.0731,0.00287294,0.0229304
0.0732,0.00287065,0.02293
0.0733,0.00286836,0.0229296
0.0734,0.00286606,0.0229292
0.0735,0.00286377,0.0229288
0.0736,0.00286148,0.0229284
0.0737,0.00285919,0.0229281
0.0738,0.00285689,0.0229277
0.0739,0.0028546,0.0229274
0.074,0.00285231,0.0229271
0.0741,0.00285001,0.0229268
0.0742,0.00284772,0.0229265
0.0743,0.00284543,0.0229262
0.0744,0.00284314,0.0229259
0.0745,0.00284084,0.0229256
0.0746,0.00283855,0.0229253
0.0747,0.00283626,0.0229251
0.0748,0.00283397,0.0229248
0.0749,0.00283167,0.0229246
0.075,0.00282938,0.0229244
0.0751,0.00282709,0.0229241
0.0752,0.0028248,0.0229239
0.0753,0.00282251,0.0229237
0.0754,0.00282021,0.0229235
0.0755,0.00281792,0.0229233
0.0756,0.00281563,0.0229231
0.0757,0.00281334,0.0229229
0.0758,0.00281104,0.0229227
0.0759,0.00280875,0.0229225
0.076,0.00280646,0.0229224
0.0761,0.00280417,0.0229222
0.0762,0.00280187,0.022922
0.0763,0.00279958,0.0229219
0.0764,0.00279729,0.0229217
0.0765,0.002795,0.0229216
0.0766,0.00279271,0.0229214
0.0767,0.00279041,0.0229213
0.0768,0.00278812,0.0229211
0.0769,0.00278583,0.022921
