date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
3.12,-0.163067,0.149099,-0.215591,-0.162205,-0.663021
3.13,-0.183121,0.126759,-0.231384,-0.20381,-0.71258
3.14,-0.201222,0.0865981,-0.255407,-0.261483,-0.759381
3.15,-0.249342,0.0377383,-0.264702,-0.299393,-0.791753
3.16,-0.311832,-0.0295229,-0.277825,-0.248816,-0.777383
3.17,-0.399197,-0.0910782,-0.30722,-0.198365,-0.650349
3.18,-0.466208,-0.151878,-0.317147,-0.107311,-0.507151
3.19,-0.512501,-0.223642,-0.299294,-0.0486487,-0.400852
3.2,-0.518238,-0.272098,-0.26904,0.0249266,-0.34969
3.21,-0.405162,-0.283359,-0.195661,0.0782146,-0.338203
3.22,-0.311536,-0.172388,-0.070638,0.0720723,-0.293389
3.23,-0.164738,-0.000626118,0.0455468,0.0472498,-0.285053
3.24,-0.063115,0.0622832,0.156877,0.0332377,-0.227157
3.25,-0.0239195,0.0965445,0.247448,0.0604942,-0.180281
3.26,0.010587,0.148976,0.308794,0.0818174,-0.138285
3.27,0.0366704,0.182564,0.352592,0.104634,-0.111998
3.28,0.0428074,0.179742,0.380661,0.120741,-0.0859143
3.29,0.0420273,0.178329,0.37318,0.118683,-0.0651687
3.3,0.0465259,0.166874,0.350807,0.121294,-0.0485772
3.31,0.0514316,0.163722,0.340459,0.11483,-0.0444317
3.32,0.045568,0.15035,0.306976,0.0886845,-0.0473243
3.33,0.0386419,0.118727,0.238136,0.0377731,-0.070645
3.34,0.0283134,0.0864074,0.178711,-0.015149,-0.105953
3.35,0.0120268,0.057432,0.0956111,-0.0743701,-0.151202
3.36,-0.0102368,0.0348474,0.0449602,-0.129568,-0.201783
3.37,-0.0398558,0.0178119,0.0272947,-0.184324,-0.254909
3.38,-0.0752186,-0.00202318,0.0400008,-0.228805,-0.305976
3.39,-0.112222,-0.0233526,0.101931,-0.252261,-0.352872
3.4,-0.146885,-0.0417217,0.197927,-0.248983,-0.39214
3.41,-0.184555,-0.070061,0.280771,-0.197285,-0.420502
3.42,-0.217321,-0.0936793,0.358086,-0.108294,-0.430558
3.43,-0.241765,-0.110114,0.465015,-0.0417766,-0.4313
3.44,-0.253995,-0.119962,0.495683,-0.0387074,-0.411129
3.45,-0.263671,-0.127096,0.433444,-0.0629382,-0.387334
3.46,-0.262602,-0.123681,0.258436,-0.0771153,-0.33592
3.47,-0.254344,-0.128434,0.196699,-0.085175,-0.273151
3.48,-0.2449,-0.133743,0.160792,-0.0870026,-0.228773
3.49,-0.235441,-0.130414,0.157126,-0.0997051,-0.19817
3.5,-0.225277,-0.124287,0.181312,-0.0979061,-0.176779
