date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2.41,0.0765573,0.256492,0.695222,0.281728,0.169513
2.42,0.0922312,0.231052,0.78907,0.234486,0.194963
2.43,0.132081,0.222203,0.523493,0.100449,0.192385
2.44,0.158864,0.238397,-0.12748,-0.109927,0.162073
2.45,0.169396,0.286011,-0.561278,-0.227262,0.0949178
2.46,0.185414,0.325852,-0.68327,-0.252948,0.024901
2.47,0.18838,0.25072,-0.4878,-0.235248,-0.0278866
2.48,0.192153,0.281273,0.224423,-0.24405,-0.0542616
2.49,0.201189,0.414478,0.457462,-0.146475,-0.0967032
2.5,0.200687,0.496646,0.745978,0.122315,-0.12926
2.51,0.201733,0.544606,0.893497,0.181952,-0.136987
2.52,0.220214,0.568963,0.943379,0.20099,-0.132836
2.53,0.203629,0.575084,0.943305,0.210781,-0.0949725
2.54,0.206671,0.563958,0.983733,0.132431,-0.0732307
2.55,0.200427,0.545418,0.979963,0.160281,-0.0665581
2.56,0.179694,0.508264,0.969461,0.120271,-0.0790352
2.57,0.172834,0.474284,0.968326,-0.0260456,-0.0874398
2.58,0.160462,0.461544,0.949221,-0.0960071,-0.0947303
2.59,0.154498,0.450206,0.924421,-0.18935,-0.0976619
2.6,0.153629,0.444259,0.916591,-0.311349,-0.0995625
2.61,0.134568,0.431865,0.762119,-0.379869,-0.102601
2.62,0.137763,0.42438,0.356216,-0.427811,-0.0997174
2.63,0.141265,0.411813,-0.262261,-0.447539,-0.0979642
2.64,0.140652,0.376599,-0.445804,-0.443209,-0.103446
2.65,0.135705,0.325787,-0.4408,-0.371477,-0.101176
2.66,0.133365,0.285581,-0.379843,-0.350057,-0.106301
2.67,0.122536,0.269283,-0.363938,-0.341703,-0.111567
2.68,0.136418,0.231653,-0.294478,-0.359798,-0.116331
2.69,0.148309,0.242921,-0.262249,-0.40966,-0.125793
2.7,0.17233,0.28028,-0.27902,-0.521581,-0.129865
2.71,0.177926,0.300734,-0.603925,-0.542462,-0.158439
2.72,0.181085,0.226292,-0.643947,-0.52565,-0.175369
2.73,0.169254,0.043996,-0.625039,-0.48769,-0.187534
2.74,0.146759,-0.11445,-0.704467,-0.490242,-0.190951
2.75,0.135266,-0.180965,-0.862674,-0.461875,-0.204243
2.76,0.134607,-0.184032,-0.97189,-0.445865,-0.221963
2.77,0.132493,-0.167445,-0.993199,-0.442614,-0.242621
2.78,0.157267,-0.104621,-0.994976,-0.456725,-0.260192
2.79,0.183083,0.0173268,-0.952993,-0.477228,-0.279523
2.8,0.166669,0.150954,-0.754527,-0.495757,-0.283658
2.81,0.1355,0.205278,-0.528852,-0.482946,-0.305428
2.82,0.0876949,0.243053,-0.334261,-0.472853,-0.275132
2.83,0.106306,0.194197,-0.405043,-0.427802,-0.249325
2.84,0.149528,-0.0797927,-0.601673,-0.39116,-0.192812
2.85,0.18468,-0.281448,-0.81688,-0.371962,-0.170511
2.86,0.189172,-0.381032,-0.905346,-0.362398,-0.156181
2.87,0.175961,-0.284882,-0.935302,-0.385552,-0.155079
2.88,0.122978,-0.255976,-0.963027,-0.398759,-0.146382
2.89,0.0861268,-0.254281,-1.00881,-0.428991,-0.166473
2.9,0.0666287,-0.23708,-0.959276,-0.42383,-0.182438
2.91,0.0406151,-0.206567,-0.921839,-0.424818,-0.163663
2.92,0.0291493,-0.148983,-0.917511,-0.418015,-0.131424
2.93,0.0167125,-0.175588,-0.854254,-0.404042,-0.117327
2.94,0.0344819,-0.0709362,-0.850481,-0.392253,-0.0931431
2.95,0.0565739,-0.00321064,-0.841575,-0.377656,-0.0468669
2.96,0.0742485,0.0696575,-0.774759,-0.343032,-0.0222079
2.97,0.0780424,0.132382,-0.701556,-0.321627,-0.0226812
2.98,0.0753878,0.245692,-0.401438,-0.300722,-0.0131639
2.99,0.0667486,0.30172,0.00330464,-0.258635,0.010436
3,0.0688253,0.330963,0.23716,-0.215866,-0.0150688
3.01,0.0584396,0.352208,0.379889,-0.162121,-0.0450009
3.02,0.0625662,0.368752,0.507393,-0.0793263,-0.0775548
3.03,0.0607453,0.354425,0.262491,-0.0820309,-0.0916508
3.04,0.0706829,0.31726,-0.16896,-0.189935,-0.0989865
3.05,0.0511459,0.141289,-0.324174,-0.236531,-0.110178
3.06,0.0400244,-0.0490695,-0.407492,-0.223044,-0.100857
3.07,0.0337021,-0.169191,-0.565661,-0.26078,-0.0833611
